tweet_id,airline_sentiment,airline_sentiment_confidence,negativereason,negativereason_confidence,airline,airline_sentiment_gold,name,negativereason_gold,retweet_count,text,tweet_coord,tweet_created,tweet_location,user_timezone,isnegative,ispositive
567766554600038402,1,0.6596,,0.0,1,,CWWMUK,,0,"@united No, not received any e-mails in either Inbox or junk/spam",,2015-02-17 11:24:29 -0800,North West of England,,0,0
567778921812389888,1,1.0,,,3,,papo353,,0,@JetBlue I would fly somewhere hotter then here. Puerto Rico here I come. Lol,,2015-02-17 12:13:38 -0800,Jersey City,,0,0
568133264168214528,1,0.6399,,,2,,ejdicki,,0,@SouthwestAir 8FKQW is the conf #. Thanks for the reply,,2015-02-18 11:41:40 -0800,"Dallas, TX",Central Time (US & Canada),0,0
570025186000539648,1,0.6714,,,3,,twice_sifted,,0,“@JetBlue: Our fleet's on fleek. http://t.co/7XMaV13G2W” http://t.co/Ela7TNtcIR,,2015-02-23 16:59:29 -0800,Northeast by SoCal by Carolina,Eastern Time (US & Canada),0,0
568620103895367680,1,1.0,,,3,,PilotFresh,,0,@JetBlue I'm so ready to see N598JB n N775JB on my Island but on a weekend to capture it,,2015-02-19 19:56:11 -0800,Dubai ,Central America,0,0
570218829546024960,1,1.0,,,5,,THE_amandajean,,0,@AmericanAir it's flight 5348,,2015-02-24 05:48:57 -0800,the one and only TEXAS!!!!,Mountain Time (US & Canada),0,0
568824193380425731,1,1.0,,,4,,jamesheine1,,0,@USAirways how can i get ahold of a reservations supervisor?,,2015-02-20 09:27:10 -0800,,,0,0
567728114588209152,1,1.0,,,2,,jcfly123,,0,@SouthwestAir trying to fly out of Nashville tomorrow. How is it looking?,,2015-02-17 08:51:45 -0800,"Nashville, TN",Mountain Time (US & Canada),0,0
569634575653183488,1,1.0,,,3,,rambinasaurus,,0,@JetBlue I think I have it selected already ☺️,,2015-02-22 15:07:20 -0800,,Atlantic Time (Canada),0,0
570009886198796288,1,1.0,,,3,,MaxNoChain,,0,how sway how “@JetBlue: Our fleet's on fleek. http://t.co/tQc96tKcI9”,,2015-02-23 15:58:41 -0800,"ÜT: 40.645173,-73.898268",Eastern Time (US & Canada),0,0
570082289939406848,1,0.669,,0.0,5,,uneek1908,,0,@AmericanAir I am traveling from AUH to IAD via etihad and then from IAD to DFW via AA. Will I be able to retrieve my checked bag in IAD?,,2015-02-23 20:46:24 -0800,The Great State of TEXAS,Central Time (US & Canada),0,0
569670155132907520,1,0.662,,,5,,georgetietjen,,0,"@AmericanAir @kconti44 This looks like JFK - had a great pic of the OneWorld jets lined up on the opposite side #Air Berlin, LAN and AA.",,2015-02-22 17:28:43 -0800,,,0,0
568166479327313920,1,1.0,,,3,,kbosspotter,,0,@JetBlue can you DM?,,2015-02-18 13:53:39 -0800,Logan International Airport,Atlantic Time (Canada),0,0
570080703171448832,1,1.0,,,5,,aprilteybrown,,0,@AmericanAir what about flight 1239?,,2015-02-23 20:40:05 -0800,"Washington, D.C.",Eastern Time (US & Canada),0,0
569912092351819778,1,0.6872,,0.0,1,,ADanaiBaker,,0,@united BUT you have received confirmation via email that you are confirmed and ticketed on this flight.,,2015-02-23 09:30:05 -0800,,,0,0
